nm0000338 - Francis Ford Coppola - https://www.imdb.com/name/nm0000338
nm0000347 - Tim Curry            - https://www.imdb.com/name/nm0000347
nm0000352 - Vincent D'Onofrio    - https://www.imdb.com/name/nm0000352
nm0000353 - Willem Dafoe         - https://www.imdb.com/name/nm0000353
nm0000354 - Matt Damon           - https://www.imdb.com/name/nm0000354
nm0000358 - Daniel Day-Lewis     - https://www.imdb.com/name/nm0000358
nm0000362 - Danny DeVito         - https://www.imdb.com/name/nm0000362
nm0000374 - Brad Dourif          - https://www.imdb.com/name/nm0000374
nm0000375 - Robert Downey Jr.    - https://www.imdb.com/name/nm0000375
nm0000378 - Minnie Driver        - https://www.imdb.com/name/nm0000378
nm0000379 - Kirsten Dunst        - https://www.imdb.com/name/nm0000379
nm0000399 - David Fincher        - https://www.imdb.com/name/nm0000399
nm0000401 - Laurence Fishburne   - https://www.imdb.com/name/nm0000401
nm0000404 - Jane Fonda           - https://www.imdb.com/name/nm0000404
nm0000407 - Vivica A. Fox        - https://www.imdb.com/name/nm0000407
nm0000409 - Brendan Fraser       - https://www.imdb.com/name/nm0000409
nm0000415 - Jami Gertz           - https://www.imdb.com/name/nm0000415
nm0000420 - Valeria Golino       - https://www.imdb.com/name/nm0000420
nm0000422 - John Goodman         - https://www.imdb.com/name/nm0000422
nm0000437 - Woody Harrelson      - https://www.imdb.com/name/nm0000437
nm0000450 - Philip Seymour Hoffman - https://www.imdb.com/name/nm0000450
nm0000451 - Gaby Hoffmann        - https://www.imdb.com/name/nm0000451
nm0000463 - Famke Janssen        - https://www.imdb.com/name/nm0000463
nm0000492 - Jennifer Jason Leigh - https://www.imdb.com/name/nm0000492
nm0000495 - Téa Leoni            - https://www.imdb.com/name/nm0000495
nm0000496 - Juliette Lewis       - https://www.imdb.com/name/nm0000496
nm0000502 - Christopher Lloyd    - https://www.imdb.com/name/nm0000502
nm0000507 - Rob Lowe             - https://www.imdb.com/name/nm0000507
nm0000508 - Carey Lowell         - https://www.imdb.com/name/nm0000508
nm0000529 - Debi Mazar           - https://www.imdb.com/name/nm0000529
nm0000539 - Dina Meyer           - https://www.imdb.com/name/nm0000539
nm0000545 - Helen Mirren         - https://www.imdb.com/name/nm0000545
nm0000546 - Matthew Modine       - https://www.imdb.com/name/nm0000546
nm0000551 - Dermot Mulroney      - https://www.imdb.com/name/nm0000551
nm0000552 - Eddie Murphy         - https://www.imdb.com/name/nm0000552
nm0000553 - Liam Neeson          - https://www.imdb.com/name/nm0000553
nm0000554 - Sam Neill            - https://www.imdb.com/name/nm0000554
nm0000571 - Mary-Louise Parker   - https://www.imdb.com/name/nm0000571
nm0000572 - Sarah Jessica Parker - https://www.imdb.com/name/nm0000572
nm0000575 - Alexandra Paul       - https://www.imdb.com/name/nm0000575
nm0000598 - Dennis Quaid         - https://www.imdb.com/name/nm0000598
nm0000607 - Paul Reubens         - https://www.imdb.com/name/nm0000607
nm0000612 - Denise Richards      - https://www.imdb.com/name/nm0000612
nm0000616 - Eric Roberts         - https://www.imdb.com/name/nm0000616
nm0000620 - Mickey Rourke        - https://www.imdb.com/name/nm0000620
nm0000621 - Kurt Russell         - https://www.imdb.com/name/nm0000621
